electricity_load,temperature,hour,day,month,day_of_the_week,holiday
21158.3,0.63,22,20,1,1,0
19714.45,0.6,23,20,1,1,0
18270.3,0.57,0,21,1,2,0
17379.8,0.53,1,21,1,2,0
16705.7,0.49,2,21,1,2,0
16441.075,0.48,3,21,1,2,0
16561.525,0.43,4,21,1,2,0
16852.025,0.38,5,21,1,2,0
17646.7,0.5,6,21,1,2,0
20172.85,0.64,7,21,1,2,0
21949.475,0.97,8,21,1,2,0
22634.4,1.44,9,21,1,2,0
22932.65,1.75,10,21,1,2,0
22951.025,2.11,11,21,1,2,0
23231.95,2.1,12,21,1,2,0
23214.825,2.08,13,21,1,2,0
23304.375,2.11,14,21,1,2,0
22931.8,1.94,15,21,1,2,0
22709.275,1.73,16,21,1,2,0
23641.975,1.55,17,21,1,2,0
23853.4,1.5,18,21,1,2,0
23526.65,1.39,19,21,1,2,0
23348.7,1.29,20,21,1,2,0
22687.575,1.25,21,21,1,2,0
21125.8,1.15,22,21,1,2,0
19584.925,1.12,23,21,1,2,0
18149.7,1.02,0,22,1,3,0
17179.025,0.99,1,22,1,3,0
16465.7,0.99,2,22,1,3,0
16248.075,0.98,3,22,1,3,0
16197.35,0.95,4,22,1,3,0
16524.775,0.89,5,22,1,3,0
17322.325,0.9,6,22,1,3,0
20126.475,1.03,7,22,1,3,0
21716.875,1.33,8,22,1,3,0
22568.825,1.55,9,22,1,3,0
23007.85,1.91,10,22,1,3,0
23102.975,2.19,11,22,1,3,0
23267.825,2.3,12,22,1,3,0
23381.575,2.28,13,22,1,3,0
23426.875,2.21,14,22,1,3,0
23126.4,2.09,15,22,1,3,0
22961.225,1.94,16,22,1,3,0
23856.0,1.79,17,22,1,3,0
24162.5,1.8,18,22,1,3,0
23751.35,1.71,19,22,1,3,0
23572.225,1.64,20,22,1,3,0
22864.25,1.49,21,22,1,3,0
21192.4,1.42,22,22,1,3,0
19802.875,1.28,23,22,1,3,0
18343.0,1.17,0,23,1,4,0
17352.025,1.03,1,23,1,4,0
16726.7,0.99,2,23,1,4,0
16387.3,0.92,3,23,1,4,0
16436.25,0.85,4,23,1,4,0
16747.125,0.81,5,23,1,4,0
17425.75,0.8,6,23,1,4,0
20217.375,0.88,7,23,1,4,0
21827.35,1.06,8,23,1,4,0
22526.4,1.23,9,23,1,4,0
22916.675,1.41,10,23,1,4,0
23038.65,1.47,11,23,1,4,0
23368.2,1.4,12,23,1,4,0
23410.125,1.3,13,23,1,4,0
23490.05,1.13,14,23,1,4,0
23214.0,1.08,15,23,1,4,0
22938.55,0.71,16,23,1,4,0
23754.8,0.54,17,23,1,4,0
24162.75,0.4,18,23,1,4,0
23773.25,0.28,19,23,1,4,0
23435.975,0.2,20,23,1,4,0
22604.125,0.01,21,23,1,4,0
20954.3,-0.09,22,23,1,4,0
19575.025,-0.3,23,23,1,4,0
18315.05,-0.4,0,24,1,5,0
17259.375,-0.57,1,24,1,5,0
16552.7,-0.68,2,24,1,5,0
16113.05,-0.88,3,24,1,5,0
16022.55,-0.97,4,24,1,5,0
16144.175,-1.08,5,24,1,5,0
16297.825,-1.1,6,24,1,5,0
17379.075,-1.1,7,24,1,5,0
18194.625,-1.02,8,24,1,5,0
19410.725,-0.85,9,24,1,5,0
20442.825,-0.71,10,24,1,5,0
21062.7,-0.53,11,24,1,5,0
21283.55,-0.5,12,24,1,5,0
21145.6,-0.51,13,24,1,5,0
21014.35,-0.49,14,24,1,5,0
20375.425,-0.73,15,24,1,5,0
20210.5,-0.93,16,24,1,5,0
21022.35,-0.89,17,24,1,5,0
21526.125,-0.9,18,24,1,5,0
21322.475,-1.0,19,24,1,5,0
21065.125,-1.08,20,24,1,5,0
20351.775,-1.24,21,24,1,5,0
19106.875,-1.4,22,24,1,5,0
17979.35,-1.49,23,24,1,5,0
16696.7,-1.47,0,25,1,6,0
15735.8,-1.54,1,25,1,6,0
15104.025,-1.58,2,25,1,6,0
14693.2,-1.48,3,25,1,6,0
14646.675,-1.33,4,25,1,6,0
14665.625,-1.46,5,25,1,6,0
14695.4,-1.6,6,25,1,6,0
15192.8,-1.4,7,25,1,6,0
15414.325,-1.25,8,25,1,6,0
16189.475,-1.2,9,25,1,6,0
17213.575,-1.18,10,25,1,6,0
17977.35,-1.12,11,25,1,6,0
18335.525,-1.1,12,25,1,6,0
18417.175,-1.18,13,25,1,6,0
18523.65,-1.26,14,25,1,6,0
18128.35,-1.3,15,25,1,6,0
17907.5,-1.6,16,25,1,6,0
18961.475,-1.57,17,25,1,6,0
19849.05,-1.7,18,25,1,6,0
19993.75,-1.74,19,25,1,6,0
19991.375,-1.8,20,25,1,6,0
19347.925,-1.75,21,25,1,6,0
18525.175,-1.7,22,25,1,6,0
17620.875,-1.67,23,25,1,6,0
16347.025,-1.66,0,26,1,0,0
15517.775,-1.64,1,26,1,0,0
15032.575,-1.57,2,26,1,0,0
14837.475,-1.46,3,26,1,0,0
14930.375,-1.4,4,26,1,0,0
15331.15,-1.35,5,26,1,0,0
16459.125,-1.3,6,26,1,0,0
19708.05,-1.18,7,26,1,0,0
21360.2,-0.89,8,26,1,0,0
22449.1,-0.63,9,26,1,0,0
22858.25,-0.47,10,26,1,0,0
22902.25,-0.29,11,26,1,0,0
23200.125,-0.1,12,26,1,0,0
23156.625,-0.17,13,26,1,0,0
23217.75,-0.31,14,26,1,0,0
22833.725,-0.48,15,26,1,0,0
22629.375,-0.63,16,26,1,0,0
23373.8,-0.82,17,26,1,0,0
24011.475,-1.0,18,26,1,0,0
23778.525,-1.14,19,26,1,0,0
23645.075,-1.33,20,26,1,0,0
22742.5,-1.46,21,26,1,0,0
21156.85,-1.78,22,26,1,0,0
19618.65,-1.83,23,26,1,0,0
18249.875,-1.87,0,27,1,1,0
17273.075,-2.04,1,27,1,1,0
16829.575,-2.07,2,27,1,1,0
16539.0,-2.13,3,27,1,1,0
16540.4,-2.13,4,27,1,1,0
16848.775,-2.11,5,27,1,1,0
17674.525,-2.1,6,27,1,1,0
20171.675,-2.02,7,27,1,1,0
21707.825,-1.71,8,27,1,1,0
